customer_id,signup_date,segment,country,acquisition_channel,is_active
C000000,2024-09-27,Mid-Market,SE,Paid Ads,True
C000001,2023-01-23,Mid-Market,RO,Referral,True
C000002,2024-10-23,SMB,KR,Paid Ads,True
C000003,2023-04-02,Mid-Market,IN,Paid Ads,True
C000004,2024-08-05,SMB,AL,Paid Ads,False
C000005,2024-12-08,SMB,MX,Referral,False
C000006,2023-03-16,SMB,LA,Paid Ads,False
C000007,2023-12-20,SMB,UZ,Partner,True
C000008,2023-02-11,SMB,KN,Organic,True
C000009,2024-06-15,Mid-Market,CR,Paid Ads,True
C000010,2024-07-31,Mid-Market,NA,Referral,False
C000011,2023-04-12,Mid-Market,BR,Organic,True
C000012,2022-07-01,SMB,KZ,Referral,True
C000013,2024-01-06,Enterprise,GW,Organic,True
C000014,2024-11-21,SMB,RS,Partner,False
C000015,2022-08-23,SMB,PE,Organic,False
C000016,2023-11-02,Mid-Market,BZ,Paid Ads,True
C000017,2023-06-14,Mid-Market,CY,Paid Ads,True
C000018,2023-12-06,Enterprise,TM,Partner,True
C000019,2023-08-22,SMB,SN,Organic,True
C000020,2022-11-26,Mid-Market,PK,Organic,True
C000021,2024-10-14,SMB,GH,Paid Ads,False
C000022,2022-02-06,SMB,KP,Referral,True
C000023,2022-11-05,Mid-Market,LY,Paid Ads,True
C000024,2024-01-21,Enterprise,VU,Paid Ads,True
C000025,2023-03-24,SMB,ET,Partner,True
C000026,2024-03-04,Mid-Market,KH,Organic,True
C000027,2022-01-11,SMB,MK,Organic,True
C000028,2022-06-01,SMB,KM,Organic,True
C000029,2023-09-07,Mid-Market,NO,Paid Ads,False
C000030,2023-05-16,Mid-Market,AF,Referral,True
C000031,2022-12-29,SMB,VA,Referral,False
C000032,2024-11-02,SMB,TT,Partner,False
C000033,2023-02-08,SMB,SO,Referral,True
C000034,2023-12-15,Mid-Market,IE,Paid Ads,True
C000035,2023-08-25,SMB,GQ,Paid Ads,True
C000036,2024-10-18,Mid-Market,CR,Partner,True
C000037,2024-02-08,SMB,BB,Referral,False
C000038,2022-03-30,Enterprise,KR,Organic,True
C000039,2022-01-19,SMB,DJ,Partner,True
C000040,2023-05-01,SMB,HU,Partner,False
C000041,2024-01-19,SMB,VN,Referral,True
C000042,2023-02-19,SMB,BA,Organic,False
C000043,2023-09-13,Mid-Market,SC,Partner,True
C000044,2023-03-17,Enterprise,NZ,Partner,True
C000045,2022-09-01,SMB,ET,Referral,True
C000046,2022-11-11,SMB,ID,Paid Ads,True
C000047,2023-04-22,Mid-Market,CV,Paid Ads,True
C000048,2024-04-25,SMB,FJ,Referral,True
C000049,2024-07-29,Mid-Market,MM,Partner,True
C000050,2024-03-17,SMB,RO,Partner,True
C000051,2023-09-19,SMB,AG,Partner,True
C000052,2023-05-30,SMB,ID,Paid Ads,True
C000053,2022-10-20,Mid-Market,SB,Paid Ads,True
C000054,2023-10-11,Mid-Market,LT,Organic,True
C000055,2023-12-10,Mid-Market,VC,Organic,True
C000056,2022-09-24,SMB,FI,Partner,False
C000057,2024-12-04,SMB,MV,Paid Ads,False
