subscription_id,customer_id,plan_type,start_date,end_date,monthly_price
S696261,C000000,Enterprise,2022-06-18,,129.99
S200301,C000001,Enterprise,2022-12-28,,129.99
S811572,C000002,Pro,2023-02-15,,59.99
S619522,C000003,Pro,2024-11-17,,59.99
S672907,C000004,Basic,2023-01-31,2024-05-25,29.99
S572464,C000005,Basic,2022-06-22,2022-11-19,29.99
S326531,C000006,Pro,2022-10-14,2023-01-12,59.99
S303442,C000007,Basic,2023-12-10,,29.99
S916350,C000008,Pro,2024-04-28,,59.99
S459067,C000009,Basic,2024-08-24,,29.99
S405350,C000010,Enterprise,2022-05-11,2022-09-08,129.99
S318815,C000011,Enterprise,2023-01-14,,129.99
S975698,C000012,Basic,2023-12-25,,29.99
S366134,C000013,Pro,2022-05-09,,59.99
S994237,C000014,Pro,2023-07-31,2024-05-26,59.99
S267677,C000015,Basic,2022-02-18,2023-07-13,29.99
S920531,C000016,Enterprise,2022-06-08,,129.99
S353405,C000017,Pro,2022-08-29,,59.99
S666158,C000018,Enterprise,2022-02-11,,129.99
S134090,C000019,Basic,2022-09-22,,29.99
S892966,C000020,Enterprise,2024-07-08,,129.99
S263864,C000021,Pro,2024-02-24,2024-06-23,59.99
S863916,C000022,Pro,2024-06-13,,59.99
S676760,C000023,Enterprise,2022-04-11,,129.99
S832829,C000024,Pro,2022-06-26,,59.99
S874016,C000025,Enterprise,2022-04-08,,129.99
S233400,C000026,Enterprise,2023-01-24,,129.99
S265678,C000027,Pro,2022-03-07,,59.99
S667193,C000028,Pro,2023-03-29,,59.99
S962187,C000029,Basic,2024-09-06,2024-12-31,29.99
S464969,C000030,Pro,2023-08-11,,59.99
S909924,C000031,Enterprise,2024-12-08,2024-12-31,129.99
S162389,C000032,Enterprise,2023-01-16,2024-05-10,129.99
S551356,C000033,Basic,2022-11-18,,29.99
S574546,C000034,Enterprise,2024-05-05,,129.99
S447212,C000035,Pro,2022-01-14,,59.99
S274277,C000036,Basic,2022-09-25,,29.99
S473185,C000037,Enterprise,2022-05-04,2023-04-29,129.99
S613017,C000038,Basic,2024-05-24,,29.99
S885298,C000039,Pro,2024-09-07,,59.99
S124531,C000040,Enterprise,2024-09-29,2024-12-31,129.99
S100598,C000041,Pro,2024-08-21,,59.99
S415991,C000042,Enterprise,2022-05-01,2023-08-24,129.99
S884527,C000043,Basic,2024-01-18,,29.99
S890141,C000044,Pro,2023-06-24,,59.99
S122754,C000045,Pro,2023-05-11,,59.99
S672145,C000046,Basic,2023-07-25,,29.99
S849593,C000047,Basic,2023-11-17,,29.99
S983325,C000048,Basic,2023-09-30,,29.99
S148714,C000049,Basic,2022-01-30,,29.99
S909130,C000050,Basic,2024-02-10,,29.99
S489444,C000051,Basic,2024-12-23,,29.99
S953381,C000052,Pro,2023-01-24,,59.99
S134156,C000053,Basic,2024-05-07,,29.99
S668552,C000054,Pro,2023-04-08,,59.99
S136275,C000055,Enterprise,2023-09-07,,129.99
S264497,C000056,Enterprise,2024-12-06,2024-12-31,129.99
S316310,C000057,Pro,2024-11-01,2024-12-31,59.99
S356564,C000058,Basic,2024-05-19,2024-12-31,29.99
S142715,C000059,Pro,2023-08-08,,59.99
S492418,C000060,Basic,2022-06-16,,29.99
S447482,C000061,Enterprise,2024-11-21,,129.99
S162263,C000062,Pro,2022-10-14,,59.99
S864816,C000063,Basic,2022-02-19,,29.99
S397459,C000064,Basic,2022-07-30,,29.99
S852786,C000065,Pro,2024-05-11,,59.99
S337016,C000066,Enterprise,2024-11-01,2024-12-31,129.99
S628790,C000067,Pro,2023-01-14,,59.99
S828909,C000068,Enterprise,2022-07-06,2023-07-01,129.99
S303047,C000069,Basic,2022-05-03,,29.99
S270080,C000070,Basic,2024-10-16,,29.99
S358253,C000071,Pro,2024-03-21,,59.99
S720857,C000072,Pro,2024-02-16,2024-10-13,59.99
S107594,C000073,Pro,2023-06-09,,59.99
S463666,C000074,Enterprise,2024-10-13,,129.99
S876385,C000075,Enterprise,2022-12-12,,129.99
S341687,C000076,Enterprise,2024-04-25,,129.99
S972051,C000077,Basic,2023-08-21,,29.99
S383349,C000078,Pro,2022-11-25,,59.99
S565914,C000079,Basic,2023-03-24,2023-07-22,29.99
S727514,C000080,Pro,2024-12-18,,59.99
S741443,C000081,Pro,2022-03-24,,59.99
S240401,C000082,Enterprise,2023-02-27,,129.99
S354517,C000083,Basic,2024-04-16,2024-11-12,29.99
S307710,C000084,Pro,2024-12-12,,59.99
S582120,C000085,Basic,2023-10-07,,29.99
S489750,C000086,Pro,2024-04-04,,59.99
S168751,C000087,Pro,2022-05-24,,59.99
S291105,C000088,Basic,2023-03-18,,29.99
S381229,C000089,Enterprise,2022-02-12,,129.99
S569905,C000090,Enterprise,2022-10-05,2023-07-02,129.99
S935536,C000091,Pro,2024-02-23,,59.99
S238872,C000092,Basic,2023-04-08,,29.99
S568019,C000093,Basic,2023-04-16,,29.99
S340207,C000094,Basic,2024-12-19,,29.99
S490465,C000095,Basic,2022-08-03,,29.99
S520250,C000096,Basic,2023-06-05,,29.99
S996501,C000097,Basic,2022-03-11,,29.99
S258486,C000098,Pro,2024-08-09,2024-12-31,59.99
S364109,C000099,Enterprise,2022-03-14,2023-06-07,129.99
S835281,C000100,Pro,2022-02-11,2022-09-09,59.99
S750967,C000101,Basic,2023-08-18,,29.99
S570358,C000102,Pro,2023-03-18,,59.99
S104728,C000103,Basic,2023-05-13,,29.99
S266030,C000104,Enterprise,2024-08-01,,129.99
S430726,C000105,Enterprise,2024-12-12,2024-12-31,129.99
S164051,C000106,Basic,2022-02-08,,29.99
S839403,C000107,Basic,2022-11-13,,29.99
S824653,C000108,Basic,2023-09-19,2024-11-12,29.99
S471852,C000109,Basic,2024-05-07,2024-12-31,29.99
S198657,C000110,Basic,2022-06-05,,29.99
S205242,C000111,Pro,2022-10-16,2023-05-14,59.99
S210171,C000112,Enterprise,2023-08-06,,129.99
S798551,C000113,Pro,2024-09-06,,59.99
S992707,C000114,Basic,2022-03-28,,29.99
S720001,C000115,Pro,2024-03-29,,59.99
S246441,C000116,Pro,2022-11-26,,59.99
S734875,C000117,Pro,2022-04-03,,59.99
S826059,C000118,Basic,2024-10-08,,29.99
S237669,C000119,Enterprise,2023-11-08,,129.99
S626089,C000120,Basic,2023-11-22,,29.99
S842597,C000121,Enterprise,2024-04-10,,129.99
S936653,C000122,Pro,2024-08-23,,59.99
S834435,C000123,Enterprise,2024-10-20,,129.99
S214778,C000124,Enterprise,2024-09-25,,129.99
S871703,C000125,Enterprise,2023-07-22,,129.99
S909144,C000126,Basic,2022-11-01,,29.99
S616568,C000127,Enterprise,2023-09-25,,129.99
S764846,C000128,Basic,2022-06-20,2023-12-12,29.99
S702491,C000129,Pro,2022-06-15,,59.99
S345868,C000130,Basic,2024-06-21,,29.99
S718206,C000131,Basic,2024-02-27,,29.99
S471500,C000132,Enterprise,2022-07-23,,129.99
S747507,C000133,Basic,2023-11-19,,29.99
S456823,C000134,Basic,2024-05-23,,29.99
S669273,C000135,Pro,2023-09-21,,59.99
S554338,C000136,Enterprise,2022-08-28,,129.99
S645013,C000137,Pro,2024-11-26,,59.99
S627912,C000138,Pro,2023-10-14,,59.99
S652905,C000139,Pro,2024-11-28,,59.99
S969838,C000140,Enterprise,2022-04-21,,129.99
S280141,C000141,Enterprise,2022-07-06,,129.99
S558482,C000142,Pro,2023-09-30,,59.99
S601036,C000143,Enterprise,2025-01-11,,129.99
S926840,C000144,Basic,2023-04-29,,29.99
S517226,C000145,Basic,2024-03-26,2024-12-31,29.99
S790447,C000146,Pro,2024-05-23,,59.99
S276456,C000147,Enterprise,2022-09-15,,129.99
S918035,C000148,Pro,2022-10-18,2023-07-15,59.99
S434372,C000149,Enterprise,2023-03-05,,129.99
S184046,C000150,Enterprise,2024-08-06,,129.99
S682430,C000151,Enterprise,2023-03-26,2023-11-21,129.99
S467382,C000152,Basic,2022-01-29,2022-09-26,29.99
S211452,C000153,Basic,2023-06-24,,29.99
S469799,C000154,Enterprise,2024-12-12,,129.99
S276163,C000155,Enterprise,2023-03-28,2024-06-20,129.99
S280463,C000156,Pro,2022-07-28,,59.99
S297869,C000157,Enterprise,2023-04-20,,129.99
S364190,C000158,Enterprise,2023-09-25,,129.99
S113329,C000159,Basic,2023-10-05,,29.99
S277762,C000160,Basic,2022-08-12,,29.99
S386813,C000161,Basic,2023-07-07,,29.99
S697406,C000162,Basic,2022-02-28,,29.99
S722876,C000163,Enterprise,2022-04-03,,129.99
S114097,C000164,Basic,2023-11-20,,29.99
S786947,C000165,Enterprise,2023-10-30,,129.99
S278510,C000166,Pro,2023-02-01,,59.99
S141688,C000167,Enterprise,2024-02-21,,129.99
S100258,C000168,Basic,2022-04-16,2023-07-10,29.99
S971412,C000169,Pro,2023-01-06,,59.99
S979905,C000170,Pro,2023-10-03,,59.99
S551211,C000171,Basic,2022-08-09,2023-10-03,29.99
S169995,C000172,Basic,2022-01-29,,29.99
S778445,C000173,Pro,2022-01-29,2023-01-24,59.99
S852014,C000174,Basic,2023-10-26,,29.99
S178508,C000175,Basic,2023-10-07,,29.99
S897188,C000176,Basic,2022-03-07,,29.99
S330273,C000177,Basic,2023-11-14,,29.99
S900079,C000178,Basic,2024-06-25,,29.99
S749264,C000179,Basic,2022-05-16,,29.99
S268109,C000180,Basic,2022-01-04,,29.99
S198195,C000181,Pro,2022-04-26,2023-09-18,59.99
S332986,C000182,Basic,2022-01-12,,29.99
S106070,C000183,Pro,2024-05-07,,59.99
S540267,C000184,Enterprise,2022-11-07,,129.99
S654567,C000185,Basic,2023-08-02,,29.99
S609454,C000186,Basic,2022-09-23,,29.99
S435933,C000187,Enterprise,2022-08-26,,129.99
S519675,C000188,Pro,2022-01-29,,59.99
S818366,C000189,Basic,2022-08-03,,29.99
S597026,C000190,Enterprise,2022-09-13,2023-01-11,129.99
S236104,C000191,Pro,2022-12-25,,59.99
S328997,C000192,Pro,2024-10-26,,59.99
S847873,C000193,Enterprise,2022-05-22,,129.99
S115440,C000194,Pro,2023-09-20,,59.99
S339357,C000195,Enterprise,2022-06-05,,129.99
S309594,C000196,Pro,2023-12-24,,59.99
